[-82, -23, -25, -13, -12, 48, 84, -14]
[-3, -8, -9, -1, -6, 1, -1, -1]
[3, 8, 28, 13, 9, 5, 1, 0]
[-1, -2, -6, -9, 11, 5, -1, 0]
[-2, 9, 36, -7, -7, -4, -3, -1]
[0, 3, 10, 0, -12, -5, 0, 3]
[-1, 2, -4, -1, -4, -2, -2, 0]
[0, -3, 8, 3, 2, 1, 1, -1]
[-2, 3, 46, 0, -2, -1, -1, -2]
[1, -3, -15, 2, 15, 2, -1, 1]
[0, -3, -17, 1, 6, 2, 1, 0]
[-1, -2, -8, -4, -11, -3, -1, -2]
[-1, -3, 28, -3, -14, -9, -1, 0]
[-1, -8, -16, 28, 52, 16, 2, 1]
[2, 5, -14, -1, 12, 12, 5, 2]
[0, 6, 42, -6, -5, -2, -2, -2]
[0, 2, 22, 1, 14, 3, 1, -1]
[-5, -3, -1, 47, -11, 1, -1, -1]
[-4, -10, -46, 66, -53, -7, -4, -5]
[-4, -7, 6, -34, -29, 1, 1, 0]
[6, 12, 32, 31, 31, 10, 5, 4]
[-10, -16, -82, -80, -25, -5, -5, -5]
[13, -29, -32, 65, 6, -9, -23, -6]
[8, 35, 48, 69, 65, 42, 17, -11]
[31, 42, 127, 53, 43, 14, 9, 12]
[-28, -17, 33, 84, 26, -17, -14, -10]
[8, -10, -29, 54, -3, 21, 21, 6]
[-33, -4, -65, -43, 6, -17, -2, -22]
[79, -30, -128, 25, -29, -10, -6, 1]
[-59, -18, -117, -103, -67, -43, -27, -23]
[30, -12, -30, -66, 24, 12, 4, 9]
[-3, 5, 89, 83, 16, 4, 0, -3]
[11, -28, -40, 30, 13, 10, -1, -1]
[-1, -8, -68, -28, 5, -2, 1, -1]
[53, -4, -14, -62, 31, 12, 8, 13]
[-39, 2, 29, -37, -4, -18, -14, -3]
[48, 30, 70, -70, -18, 2, 6, 16]
[-19, 2, 94, 67, -8, -2, -2, 0]
[-27, -22, -69, -3, -7, -10, -5, -1]
[-72, -13, 65, 2, -9, -9, -6, -7]
[26, 19, 35, -59, 9, 21, 9, 10]
[5, 10, 0, -6, -2, 10, 3, 0]
[0, -12, -57, -28, 6, -22, -10, -8]
[7, 5, -13, 8, -2, 2, 3, 3]
[-10, -14, -13, 37, -6, -11, -3, -6]
[6, 4, 46, -7, -1, 16, 2, 2]
[11, 7, 23, 26, 1, 3, 0, 2]
[1, 2, 2, -2, 5, -2, 0, -1]
[7, 2, 4, 4, 11, 6, 5, 5]
[2, -1, -5, 0, 3, 0, -10, 0]
[2, 3, 0, -18, -1, -3, 2, 1]
[25, 4, 2, 8, -1, 3, 11, 1]
[1, 1, 2, -1, -4, -9, -7, -4]
[-9, -2, -6, -1, 1, -4, -4, -3]
[1, 0, -4, 3, -3, -1, 3, 0]
[-6, -1, 3, -2, -2, -3, -1, -4]
[-1, 7, 7, -1, 2, 6, -2, 1]
[-4, 0, 2, 2, 3, -2, 3, 0]
[-4, -6, -7, 4, 6, 6, 1, -2]
[-1, -4, 7, 0, -2, -1, -2, 0]
[-3, 7, 50, 2, 6, 2, 0, -2]
[-3, -5, -20, 1, -15, -7, 0, -1]
[-1, -5, -17, -4, -4, -1, -3, -2]
[-3, -2, -1, -1, -1, -2, -1, 0]
[0, 1, -16, -4, 0, 1, 0, -2]
[0, 2, 5, 0, -5, -2, -1, 0]
[-1, 1, -15, 7, 32, 1, -1, 2]
[0, -4, 17, 0, -11, -6, -2, -1]
[3, 6, -5, 5, 7, 5, -1, 1]
[0, -3, -11, -17, -27, -3, 1, -2]
[-2, -6, -58, -41, -12, 2, 0, -1]
[0, -1, 24, 12, -11, 9, 2, 2]
[4, 11, 38, -7, 19, -5, 2, 1]
[4, 6, 48, 42, 15, -2, 1, 1]
[-7, 5, 71, -31, 6, -3, -13, -10]
[-4, -8, -79, -112, -16, -5, -3, -2]
[-8, 1, 119, -12, -9, 0, 7, -6]
[-3, -49, -76, -5, -15, -14, -6, -2]
[-28, -18, 30, 42, -27, -19, -9, -11]
[55, 32, 56, 79, 44, 24, 9, 10]
[13, 28, 7, -117, 48, 22, 14, -21]
[2, 8, -52, 35, -14, -4, -2, 13]
[-4, 32, 38, 127, 32, -2, 3, -9]
[-32, 6, 92, 75, 50, 14, -1, 10]
[8, -13, -45, 65, 1, 0, -4, 8]
[-9, -36, -100, -120, -57, -20, -7, -3]
[47, 45, 91, -115, 29, 25, 14, 12]
[-11, 3, 71, 78, -7, -13, -6, -4]
[-18, -2, -3, -45, -11, 2, 2, 19]
[9, -15, 9, 14, -21, -10, -9, -1]
[-8, 0, -31, -62, -8, -1, 1, -1]
[2, -4, -55, 16, -2, -1, 0, -3]
[4, 9, 6, -47, 3, 0, 2, -2]
[-14, 1, 3, -5, 5, 14, 6, -1]
[18, 0, -1, -51, -11, -6, -4, -3]
[4, 1, -12, 9, 4, 2, 2, 1]
[6, -1, 4, 11, -2, 4, 1, 0]
[1, -1, -11, 4, 1, -4, -2, -1]
[-3, -2, 1, -6, -1, -4, -8, -2]
[-4, -15, -62, 1, 0, -1, 1, -1]
[-2, 2, -34, 4, -3, -4, -1, 0]
[5, 1, 19, -2, -5, -3, 7, -1]
[0, 4, 16, 4, 4, 2, 0, 0]
[2, -2, 5, -1, 0, 1, 1, 0]
[-20, 2, 9, -1, -1, 1, 4, -4]
[6, 4, 10, 3, 2, 1, -3, 5]
[3, 1, 10, 0, -3, -4, -1, 1]
[-2, -4, 5, -2, 0, 0, -3, -7]
[3, -10, 31, 11, 17, 2, 0, 0]
[3, 7, 30, -18, -28, -6, -1, 2]
[-2, 1, 0, 0, -5, -4, -2, 1]
[0, -6, -15, -1, 36, 1, -2, 1]
[-1, 2, -3, -2, -10, 4, -2, -1]
[0, -2, -18, 3, -9, -6, -2, -2]
[-1, -2, -7, -2, -8, -6, -1, -1]
[0, -8, -44, -3, 5, 4, 1, 0]
[0, -3, 3, 11, 4, 1, -2, -1]
[-1, -2, -11, -6, -1, 2, 2, 0]
[-1, -10, -22, -6, 19, 4, 1, -1]
[-1, 21, 51, -18, -21, -5, -2, 0]
[-4, -6, -39, -12, 2, -5, -1, -2]
[0, 2, 53, 20, 25, 11, 1, 0]
[4, 2, -15, 40, 18, -5, 1, 4]
[-7, -8, -60, -65, -34, -1, -5, -4]
[2, 4, 85, 125, 6, -4, 3, 0]
[12, 18, 53, -34, 3, 8, 6, 8]
[7, 9, 83, -92, 11, 4, 3, 3]
[-11, -20, -103, -128, -12, -10, -1, -6]
[10, 8, 47, 115, 10, 15, 12, 10]
[13, 7, -25, 28, 1, 14, 12, 7]
[2, 17, 45, 42, -1, -4, -2, 0]
[11, -24, -52, 50, -22, -26, -17, -17]
[-31, -44, -60, 18, -30, -29, -19, -18]
[-36, 13, 50, -86, -2, -4, -1, -24]
[-20, -7, -36, 17, -2, -8, -5, -20]
[-32, 16, 74, -26, 5, -1, -4, 10]
[33, 18, 42, -56, 4, 12, 8, 22]
[37, 4, -68, 31, 3, -2, -1, -3]
[39, 33, 98, 44, 23, 24, 9, 12]
[9, -4, 25, -29, 5, 0, 5, -1]
[4, -3, -52, -104, -14, -3, -1, -9]
[0, -1, -18, -55, -12, -1, -2, 3]
[-9, -6, -52, 45, 5, 4, 5, 6]
[-40, -4, 45, 41, -4, -9, -6, 7]
[-3, 6, 13, -27, -7, -1, 1, 6]
[10, -2, 22, 21, 0, -8, -6, -6]
[7, -2, -8, -45, -3, 6, 1, -1]
[5, -1, 1, -5, -12, 0, -2, 5]
[5, 0, -2, -5, -7, -6, -2, -3]
[-1, -1, -4, 0, 2, 0, -7, -2]
[4, 1, -6, 0, -1, 3, 4, -1]
[-3, 0, -2, -6, 0, -4, 0, -2]
[1, 1, -1, -9, 1, -2, -1, -2]
[2, -1, 5, 4, 1, -1, 2, 2]
[0, -2, -2, -3, 3, 1, -2, 4]
[0, -1, -9, -2, 0, -1, 2, -2]
[-2, 0, 2, 2, 0, 1, -1, -2]
[1, -1, -2, -2, 0, -1, -2, -1]
[1, -1, -2, 7, 20, 3, 1, -2]
[-1, 0, -2, -11, -9, -1, 2, -2]
[0, -5, -10, 5, 15, 2, -1, 1]
[-1, -1, -13, -17, -7, 3, 0, -1]
[-8, -12, -5, -1, 11, -1, -5, -5]
[0, 0, 2, -7, -8, 3, 0, 0]
[1, 6, 10, 6, -17, -2, 1, 1]
[-1, -2, -12, 1, -16, -6, -2, 1]
[0, 0, -1, -27, -34, -9, -2, -3]
[3, 4, 32, 49, 34, -4, 0, 2]
[-1, -4, 15, 39, 12, 7, 1, 1]
[-3, -6, -11, -117, -16, -8, -5, -2]
[-4, -16, -49, -35, 6, 0, -3, -2]
[-11, -6, 58, -98, -19, -6, -4, -6]
[3, 1, -35, -86, 13, 8, -2, 1]
[13, 8, -25, 16, 7, 0, 13, 5]
[-6, -14, -43, -46, -38, -10, -2, -5]
[-12, 0, 38, 23, -15, -15, -12, -9]
[14, 18, -2, -3, 20, 19, 11, 9]
[32, -3, 26, 39, 22, 4, -3, 1]
[25, 55, 120, -49, 59, -9, -7, 5]
[-21, -20, 17, 57, -9, 14, 3, 4]
[-31, 12, 75, 122, 7, 4, 6, 14]
[-75, -26, 7, 88, -22, -13, -9, -8]
[10, 15, 10, 18, 22, 12, 7, 5]
[12, 5, -34, -65, -3, 8, 2, 3]
[26, 14, 60, -10, 29, 7, 3, 2]
[0, 4, 23, -18, 3, 8, 4, -12]
[7, 12, -44, -35, 0, -1, 3, 8]
[5, 1, 22, -24, 6, -5, -3, -3]
[18, 10, -11, 21, -11, -2, 2, 25]
[-5, -6, -5, 75, 3, 11, 3, 0]
[-1, -7, -5, -44, 4, -12, -12, -4]
[12, -3, -34, -17, -11, -3, 2, 0]
