[32, 22, 15, 35, 72, 45, 42, 4]
[-1, -29, 6, -29, -27, -23, -23, -2]
[2, 0, 39, 16, 7, 11, 12, 0]
[3, -2, -8, 17, 14, 22, 19, 1]
[-5, 2, -22, -37, -14, -12, -7, -6]
[44, 18, 73, 77, 77, 80, 73, 13]
[-34, -17, -64, -73, -80, -75, -68, -10]
[-23, -5, -50, -53, -52, -48, -44, -5]
[10, -1, 17, 17, 11, 13, 12, 1]
[0, 1, 14, -1, 12, 11, 12, -1]
[0, -1, -1, 5, 2, 3, 2, -2]
[5, 7, -6, -7, -10, -7, 0, 0]
[-6, -6, -23, -11, -8, -2, 0, -6]
[5, 1, -1, -3, -4, 0, 8, 0]
[-11, -3, -15, 0, -8, -5, -7, -2]
[5, -1, 10, 2, 5, 9, 7, 3]
[5, 3, 43, 4, 8, 8, 10, -1]
[-10, -12, -22, -23, -22, -25, -26, -7]
[-21, -11, -38, -9, -32, -30, -30, -11]
[7, 5, 22, 29, 13, 15, 16, 4]
[-17, -5, -35, -29, -29, -24, -29, -4]
[-12, -3, -35, -31, -18, -17, -18, -6]
[14, 3, 19, 16, 21, 24, 25, 5]
[8, 7, 42, 70, 15, 21, 22, 3]
[-3, -5, 8, 18, 16, 17, 16, 3]
[-31, -18, -23, -4, -26, -22, -36, -7]
[-1, 10, -28, -110, -17, -13, 24, 20]
[-82, 1, 14, -93, 25, -48, -83, -12]
[-78, 18, -8, -41, -11, 27, 43, 1]
[-80, -17, -12, 47, 8, 10, -7, -24]
[47, 7, 18, 127, 31, 110, 66, -11]
[14, -1, 18, 9, 10, 15, -17, -6]
[6, 4, -70, -62, -48, -32, -27, -1]
[25, -6, 17, 6, 12, 22, 16, 4]
[1, -4, 0, 24, 15, 26, 15, -2]
[1, -2, 29, -23, -28, -34, -24, -2]
[-1, 2, -49, -45, -22, -15, -9, 0]
[10, 1, 36, 11, 14, 6, 17, -1]
[-2, -1, -48, -42, -17, 0, 16, -1]
[-6, -4, 11, -46, 8, 14, 12, -5]
[5, -5, -13, 17, -6, -7, -5, 0]
[-5, 4, 61, 43, -5, -7, -1, 0]
[-4, -6, 25, 30, -5, -2, -6, -2]
[-3, -4, 0, 24, 6, 8, 4, -5]
[7, -1, -31, -4, -2, 2, 5, 2]
[1, 0, -24, -15, -9, -5, -5, 2]
[-1, 3, -9, 7, -6, -5, 1, 2]
[-17, -9, 2, 16, -15, -26, -29, -7]
[5, 1, -13, -19, 0, 8, 8, 4]
[9, 2, -7, -21, 3, 7, 14, 0]
[-3, -3, -2, -34, -4, -10, -4, -1]
[6, -4, 8, -6, 6, 5, 12, 3]
[-8, -5, -8, -10, -10, -8, -6, -3]
[-12, -1, 5, 19, -7, -13, -17, -5]
[0, 5, -6, -17, -5, 1, -4, -2]
[-11, -1, 9, 3, -11, -10, -10, -3]
[0, 0, 3, -2, -3, 3, 7, 2]
[3, 5, -8, -32, -8, 1, 1, -1]
[1, 4, 6, 4, 3, 0, 1, -1]
[7, -2, 3, 27, -2, -7, -9, -2]
[-30, -9, -44, -1, -21, -29, -31, -3]
[84, 5, 20, -51, 8, 29, 52, 18]
[35, 3, 55, 82, -4, 7, -38, -42]
[-26, -10, -68, -41, 12, 6, 30, 11]
[1, -8, -31, -50, -14, -14, 32, 7]
[-23, -4, 20, 4, 4, 2, 9, 6]
[-51, -23, -12, -48, -7, -2, 21, 0]
[-14, -2, 20, -25, 7, -1, -6, -3]
[-8, -1, 0, 14, -2, -4, 2, -2]
[-9, 0, -2, -16, -6, -5, -3, 1]
[-3, 0, -6, 8, 1, -4, -1, -3]
[-17, -6, 36, -29, -20, -20, -20, -1]
[4, -6, -27, -9, -1, 5, 10, 2]
[-8, -5, 61, -29, -34, -23, -21, -6]
[2, 2, -35, -2, 3, 0, 1, 4]
[-2, 0, -18, -67, 3, 6, 9, -2]
[-11, -6, -13, -14, -1, 6, 7, -3]
[-3, -8, 9, 13, -6, 5, 3, -1]
[4, 0, -18, 12, 2, 1, -1, -1]
[-4, -2, -24, -17, 8, 7, 6, 0]
[-6, -5, -25, 21, -7, -16, -13, -1]
[5, -2, 20, -19, -1, 1, -1, 3]
[-4, -5, -10, 1, -5, -1, 1, -2]
[4, 2, 5, 7, -1, 4, 9, -1]
[-4, -7, -64, -1, -18, -10, -7, -2]
[-7, 2, 0, 24, -12, -16, -18, -3]
[-2, -2, 20, 0, 8, 8, 6, -5]
[-2, 3, 27, -20, 0, -7, -4, -1]
[2, 3, 1, 16, 1, 6, 7, 6]
[-16, -8, -27, 38, -19, -30, -32, -9]
[0, -7, -17, -24, -4, 0, -2, -2]
[-2, -5, -13, -11, -11, -6, -5, 4]
[3, -4, 17, -11, -9, -1, 3, -5]
[-3, -2, -4, -46, -8, -7, -6, -3]
[4, 0, 26, -18, 5, 8, 10, 1]
[15, 15, 16, -6, -8, 12, 18, 6]
[-21, -12, -66, -31, -52, -50, -48, -13]
[-11, 1, 7, 39, 1, -10, -38, -21]
[-10, -9, -48, -29, -40, -22, 80, 24]
[39, 6, -35, 20, -1, 16, 8, 5]
[39, -6, 10, -65, -17, 7, 34, 3]
[0, 5, -18, 92, -42, -10, 51, 24]
[-5, 12, -6, 13, 14, -3, -12, 6]
[-1, 7, 30, 28, 31, 15, -36, -2]
[2, -6, -7, -9, -2, 12, 41, 1]
[0, -5, -5, 18, 4, 1, 13, 0]
[14, 6, 8, 1, 2, -5, -1, 0]
[-10, 0, 55, -32, -3, 2, -29, -2]
[-15, 0, 48, 25, -12, -15, -7, -4]
[9, 5, -4, 11, 12, 10, 12, -1]
[3, 3, -20, -8, -5, 1, 9, 2]
[-12, -12, 14, -15, -14, -12, -14, -6]
[12, -2, -73, -2, 18, 23, 23, -1]
[13, -4, 15, 16, 10, 16, 21, 6]
[-1, 2, 23, 21, -4, 1, 3, -1]
[6, -3, -31, -7, -2, 12, 7, 0]
[2, -2, 2, 29, 2, -4, -1, -3]
[6, 1, -39, -27, 13, 10, 9, 4]
[-5, -3, 32, -3, 5, 4, -1, -5]
[-2, 8, 19, 6, -8, -12, -6, -2]
[8, 6, 39, -5, 3, 6, 10, 7]
[-3, -1, -8, -15, -10, -7, -8, -5]
[-4, 4, -12, 12, 4, 0, 0, 2]
[-4, -7, -66, 6, -12, -15, -13, -1]
[4, 3, 34, 48, 26, 15, 11, 0]
[7, 2, 24, 31, 28, 25, 20, 2]
[-1, -7, 57, 9, 7, 1, 0, -2]
[6, -1, 10, 14, 11, 11, 10, 2]
[4, 1, 31, 23, 8, 4, 5, 3]
[3, -1, -8, -4, 15, 18, 10, -1]
[-5, -1, -14, -18, -10, -11, -9, -3]
[-3, -4, -8, 6, -1, -5, -3, 0]
[-4, -9, 31, 10, -1, -3, -2, -5]
[-7, 2, -5, 11, 2, 2, -1, -2]
[4, -7, -1, -7, 12, 17, 20, 5]
[22, -5, -11, -46, -48, -7, 9, 5]
[-41, -17, 27, 19, 49, 34, -8, -5]
[40, 3, -26, -35, 1, -2, 31, 3]
[51, 3, 10, 30, 3, -2, -9, 2]
[-29, -22, 16, 34, 17, 21, 0, -1]
[8, 6, -2, -9, -3, -4, -6, 0]
