[-109, -81, 111, 71, -59, 64, -68, -17]
[54, -10, 25, -101, 5, -13, 45, -13]
[46, -71, -37, -126, -2, -5, 49, 0]
[34, -31, -14, -17, -13, -7, 37, 26]
[-125, 125, 27, 127, -27, -27, -128, -35]
[33, -24, -9, -111, 8, 7, 43, 53]
[1, -7, 18, -35, -5, -3, 2, 6]
[-2, -1, 12, 32, 5, -3, -1, 2]
[2, -6, 30, 19, 1, 0, -2, 2]
[-9, 34, -31, -5, -1, -4, -8, -4]
[-1, 24, -9, -3, -1, -1, -2, 29]
[-4, -14, 7, 6, 1, 0, -1, 5]
[-1, 2, 38, 6, 1, -2, -2, -6]
[0, -50, -23, 1, 1, 1, -1, -7]
[-3, 22, -42, -1, -6, -4, -4, -9]
[-4, -4, 2, 6, 0, -3, -1, -9]
[-1, 3, 104, 18, -2, 0, -3, -9]
[0, -5, 46, -11, -1, 1, -1, -6]
[-2, -10, -37, 2, 2, 2, 3, -5]
[3, 57, 111, 8, 0, 0, -2, -11]
[12, -55, 72, 12, -6, -46, 0, 89]
[-1, 2, 16, -14, 4, 7, -62, 84]
[-54, -88, -70, -15, -23, -35, 3, -38]
[3, -62, -51, 4, -1, 6, -12, -28]
[-4, 75, 60, 11, -7, -9, -17, -2]
[-3, 8, 11, 2, 2, 4, 23, -18]
[14, -4, -118, -41, -7, -2, -1, 9]
[-13, -63, -22, -3, -2, 3, -2, -13]
[-4, 45, 122, 27, 2, -6, -25, -6]
[6, 43, 99, 17, 0, 2, -8, -17]
[3, 7, -32, -22, -10, -3, 9, 5]
[-5, -10, -87, -37, -6, 1, 21, -24]
[-4, 5, -17, 1, -6, -9, -13, 20]
[1, 44, 75, 7, 5, 2, -2, -12]
[3, 35, -28, -3, -3, -2, -10, 6]
[-3, 41, 87, -12, 3, 3, 22, 26]
[0, 14, 20, 8, 3, 3, -1, -15]
[-15, -9, -43, -1, -6, -2, -2, -30]
[10, -12, 39, 4, -5, -5, 20, -25]
[10, 0, 23, 1, 4, 4, 3, -2]
[-2, 19, 0, 0, 5, 2, -4, -9]
[-10, -4, -16, 6, -2, -3, -11, -4]
[-10, -6, 55, -25, -9, -5, 1, 39]
[-6, -13, -20, 19, 2, -4, -7, -10]
[-4, -12, 17, -3, -4, -2, -4, -9]
[-5, -22, -45, -9, -3, -2, 9, -5]
[2, 1, -24, 6, 0, 2, -10, -1]
[2, -16, -66, 4, -1, -2, -1, -4]
[13, 11, -17, -6, 1, -2, -34, 43]
[-6, -5, -13, -3, 4, 5, 19, -23]
[-1, -7, 88, 18, -2, -5, 2, -30]
[-8, -61, 14, -6, 4, 3, 14, -13]
[-6, -16, -108, -8, -11, -5, 0, -7]
[-11, -36, -78, -10, -3, -2, -13, 1]
[4, 15, 10, -2, 4, 1, 6, -8]
[-2, 18, -110, -19, 0, 3, 14, -11]
[6, 19, -11, 11, 4, 0, 4, -7]
[2, 28, 88, -11, 2, 2, 8, 6]
[3, 4, -98, -15, -2, 0, 10, 9]
[-2, -15, -14, -7, 2, 1, -14, 15]
[-1, 27, 73, 13, 3, 1, 4, 8]
[-4, 15, -24, -11, -4, -3, 1, 0]
[-7, 3, 20, -1, -1, -4, -2, 17]
[5, 19, 20, 11, 3, -1, 0, -4]
[1, -6, 78, 11, 1, -2, 34, 20]
[-3, -36, 9, 3, -4, -1, -1, 0]
[1, 16, 24, -3, -2, 1, -4, 9]
[-7, -13, -49, -5, 1, 2, 2, 4]
[5, 25, -1, 2, 0, 2, 0, 43]
[7, 29, 14, 2, 1, -2, -2, -10]
[6, 55, 86, 19, 6, -1, -4, -5]
[-4, 21, 0, -18, -1, 3, 12, -10]
[-2, -28, 22, -12, -6, -4, -22, -12]
[-3, -12, -35, -4, 3, 1, 6, -3]
[-8, 2, -59, -9, 0, -1, 6, -8]
