[5, 103, 42, -24, 7, -5, -6, -17]
[0, -75, -15, -12, -3, -2, 1, -22]
[2, -23, 6, 19, 6, 2, 0, -23]
[10, -55, 8, -2, 0, -3, -1, -21]
[-2, 88, -12, -5, -10, -3, 1, -23]
[-2, 10, -19, -6, 3, -1, 0, -22]
[-2, -66, 82, 17, -3, 2, -1, -23]
[-2, 97, 6, 3, -1, -3, -1, -21]
[-1, 96, -47, -10, 11, 5, 5, -23]
[-6, 50, -22, 55, 20, 3, 2, -25]
[-2, 62, 16, -13, -6, -2, 1, -23]
[1, -52, 32, -7, -8, 0, 1, -24]
[0, 80, 61, 4, 4, 1, 0, -23]
[3, 58, 20, -21, -8, -5, -3, -21]
[-1, -70, -17, -3, -6, -4, -9, -24]
[-2, 49, -25, -33, -28, -8, -2, -21]
[1, -6, -65, 13, -3, -2, -7, -23]
[2, 37, 58, -4, 3, -1, 2, -22]
[2, -6, -2, -5, 4, 3, 3, -23]
[1, -49, 37, 25, 25, 1, -3, -23]
[-6, 26, 30, -18, -9, 0, 1, -26]
[-2, 38, -7, 15, 7, -4, -1, -23]
[-2, 37, -12, 3, -3, 0, 0, -22]
[0, 7, 4, 5, -2, 0, -3, -23]
[-2, -5, -21, -5, -6, -3, 0, -24]
[-3, -108, -3, -10, -1, 1, -2, -23]
[-1, 28, -3, 3, 9, 0, 2, -23]
[0, -24, 17, 2, -3, -3, -2, -23]
[0, -10, 5, 0, 0, 0, -1, -23]
[-1, -7, -7, -1, -7, 0, 0, -23]
[1, 70, -4, 1, 0, 0, 0, -22]
[-1, 41, -1, -2, 2, -2, -2, -22]
[1, 17, -7, -3, -4, -1, 0, -24]
[0, -94, -7, -1, -2, 0, 0, -25]
[0, -25, -18, 1, -1, 1, 1, -24]
[1, -3, -3, -1, -1, -2, -3, -22]
[-1, 33, 4, -1, 2, -1, -2, -22]
[2, -104, 15, -3, -2, -1, 0, -24]
[-2, 42, -7, 7, 4, 1, -1, -22]
[-2, 8, 13, -6, -13, -5, -3, -23]
[-2, 15, -3, 0, -3, 0, 1, -25]
[0, -17, 7, -1, 1, -1, -2, -24]
[0, -18, 4, -2, -2, -1, -1, -23]
[0, 4, -4, 0, -2, 1, 0, -24]
[0, -33, -7, 0, 4, -2, -3, -22]
[-1, -81, -1, 0, 1, 1, 0, -25]
[0, -2, 9, -2, -4, -1, 0, -24]
[0, 31, 6, -1, 2, 2, -2, -21]
[-1, 87, 5, 2, -1, -5, -1, -22]
[-2, 22, -5, -1, 6, 2, 0, -22]
[-1, 72, 26, -3, -11, -3, 0, -22]
[0, -5, -6, -5, -8, -6, -2, -23]
[-3, -3, -15, -13, -5, -1, 1, -23]
[-3, 35, -7, 4, 4, 3, 1, -24]
[0, -70, 0, -4, -6, -2, -1, -23]
[-2, 83, -9, 7, -3, -1, 0, -22]
[-4, 118, -10, -3, 0, -1, 0, -22]
[-1, 53, -3, -5, -13, -4, 1, -21]
[2, -88, 6, -2, 5, -2, -3, -22]
[-1, -27, -6, 3, 1, -1, -1, -23]
[1, 44, 7, 1, 3, 0, -1, -23]
[1, -62, 9, -3, -1, 0, -1, -22]
[0, -16, 3, 1, 0, -2, -1, -22]
[0, 38, 4, 11, 8, -3, -1, -22]
[-1, 39, 9, 0, -9, -2, 0, -23]
[2, -122, -1, 1, 1, -5, -14, -25]
