[-12, -4, -2, 7, 13, 4, -2, -4]
[8, 3, -9, 1, 11, 6, -1, 3]
[4, 1, 9, 1, 3, -1, -1, -2]
[-5, -2, 9, -1, -2, 0, 2, -2]
[-2, -1, -5, -3, -9, -5, 0, 1]
[-3, -2, -2, 0, -3, -2, 0, -1]
[3, 1, 0, -2, 3, 4, 8, 0]
[-1, -3, 0, 1, -2, -1, -2, -1]
[0, 1, 2, 1, -5, 0, -5, -1]
[-3, -2, -7, 6, 4, -3, -6, -4]
[-1, -2, -9, -9, -6, -3, 8, -3]
[-2, 0, -2, -1, 3, 2, 4, -2]
[2, 1, -4, -9, -3, -3, -10, -2]
[1, -3, -5, -2, 0, -2, 0, 0]
[5, 2, -1, 0, -1, 1, 12, 3]
[0, 0, 4, 7, 2, 0, 4, -1]
[-1, -3, 0, 4, 0, 0, 2, 0]
[1, 3, 9, 1, -1, 2, 24, 4]
[-3, -5, 0, 9, 4, 0, 0, -1]
[0, 0, -2, -5, -1, 0, -11, -3]
[0, -2, -5, -8, -6, -3, -3, -3]
[2, -1, 2, -6, -8, -3, -4, -1]
[-3, -2, -2, -3, 3, -3, -17, -7]
[-3, -3, -4, -1, -3, -5, -10, -2]
[-7, -2, 1, 5, -2, -3, -7, -3]
[2, -1, -7, 9, -1, -2, -2, -1]
[1, 0, -6, 5, -3, 0, -10, -2]
[-5, -3, -7, 1, -1, -2, -6, -4]
[2, -1, -1, 16, 3, -1, -12, -3]
[0, -1, 0, 4, 2, 1, 0, -2]
[-2, -2, -4, -3, 0, 0, -1, 0]
[-2, -3, 0, 1, -6, -2, 3, -2]
[0, -4, -3, -3, -1, -1, -10, -1]
[0, 2, 0, -1, 4, 1, 1, 2]
[-1, 1, -2, -1, -1, 0, -3, -3]
[-3, -4, -1, 1, 1, -2, -28, -5]
[-3, -1, -1, 23, 10, 1, -18, -4]
[-2, 2, 3, -2, 0, -3, 0, 0]
[2, 1, -1, -2, 0, 0, 3, 0]
[-3, 0, 2, 30, 15, 6, 38, 6]
[1, -3, -4, -15, -3, 0, 10, 1]
[-5, -2, 2, 38, 29, 11, 25, 7]
[2, -1, -4, 10, 3, -6, -58, -13]
[3, 0, -8, 26, 0, 0, 0, -1]
[5, 1, -3, -33, -15, -8, -27, -7]
[-2, -3, -11, 18, 6, -3, -41, -10]
[4, -1, 4, -9, -4, -1, -4, -1]
[-8, -3, -11, -10, 0, -1, 13, 0]
[4, -8, 0, 33, 8, 8, 46, 11]
[-1, -6, -4, 23, 5, 0, -28, -4]
[-2, 3, -3, -19, -3, 3, 21, 6]
[-3, 0, 0, -15, -20, -6, 1, -3]
[2, 1, 1, -47, -8, 0, 22, 3]
[0, -2, 17, -9, -1, 6, -9, 0]
[-3, -3, -1, -14, -6, -1, -34, 3]
[-3, -5, -5, -17, -3, -8, -34, -13]
[0, -2, -1, 10, 12, -6, -80, -20]
[2, 0, -4, 22, 8, 2, 26, 5]
[-2, 2, 1, -3, -2, 0, -1, 2]
[-5, 0, -1, -18, -3, 1, 14, 5]
[-7, -2, -5, 9, 4, -6, -23, -8]
[2, 0, -7, -18, -6, 0, 7, 0]
[0, 2, 0, 13, 1, 1, 4, 2]
[3, 0, -1, -15, -7, -2, 0, -1]
[3, 0, 8, 7, 3, 0, -2, 0]
[-6, -5, -11, -20, -6, -3, -21, -5]
[-3, -3, -1, -1, -1, 3, 35, 8]
[0, 0, -4, -17, -4, 1, 24, 5]
[-3, -3, 0, 16, 5, 0, -17, -4]
[2, 1, -3, 6, 0, 4, 32, 5]
[5, 0, -2, 4, 6, 3, 3, 4]
[-2, -2, -1, 13, 1, -1, -12, -6]
[0, -4, -5, -6, 2, 2, 14, 2]
[-1, 0, -3, 10, 8, 0, -7, -1]
[0, 0, 2, -6, -1, -1, 9, 1]
[-3, -1, 1, -8, -4, 0, 34, 6]
[-5, 0, 0, 4, -2, -3, -8, -1]
[1, 2, 7, 3, -7, -5, -35, -5]
[4, -2, -2, -3, -4, -3, -12, -4]
[4, 3, 2, 5, 0, -2, -14, 1]
[-1, -3, -5, -13, -11, -5, -4, -1]
[4, 2, 6, -21, -11, -5, -18, -5]
[-2, -1, -14, -11, -5, 0, 38, 8]
[0, -1, -6, -36, -13, -5, -17, -2]
[-5, -2, 0, 9, -4, -1, -5, -3]
[-5, -1, -5, -31, -11, -11, -27, -8]
[-3, 2, 0, -15, -5, -2, -3, -2]
[0, -2, 1, 12, -5, 1, -3, 3]
[7, 0, 2, 18, 23, 4, 9, 5]
[-3, -4, 0, 25, 8, 3, 4, 1]
[1, 0, -5, 4, -8, 2, 43, 5]
[-3, 2, 6, -17, -11, -3, -20, -2]
[-2, -1, 10, 92, 31, 1, -44, -6]
[-4, 2, -3, -16, -14, 3, 7, 7]
[0, -1, -1, 0, 0, -1, 2, 2]
[4, -1, -10, -6, 0, 6, 10, 18]
[-16, -1, -2, 5, 5, -4, -39, -8]
[5, 1, 5, -5, -3, -7, -23, -6]
[8, 0, 5, -12, -5, 4, 37, 8]
[-1, 6, 11, 11, -1, -3, -14, -2]
[3, 0, 12, 20, 7, 6, 64, 14]
[-8, -4, -8, 11, 10, 2, 8, -1]
[-3, -3, 2, 5, 0, 0, 9, 0]
[-2, -2, 4, -8, -4, -1, 3, -4]
[-1, -3, -1, 4, 6, 2, 4, -1]
[-1, -1, -4, -18, -11, -8, -12, -5]
[0, 4, 22, 15, 3, 4, 29, 1]
[1, 0, -9, 7, 4, 2, 0, -2]
[-7, -3, -4, 0, 2, -4, -7, -2]
[1, -1, -2, 27, 12, 5, 12, 3]
[-2, 0, -7, -26, -3, 1, -14, -4]
[-5, -3, -11, -25, -10, -3, -10, -6]
[-1, 1, -7, 0, 2, 0, -15, 0]
[1, 1, 5, 14, 1, 2, 2, 0]
[4, -2, -6, 14, 1, -4, -22, -5]
[2, -3, 1, -14, -2, -3, -16, -4]
[-2, -1, -4, 1, -2, -1, 4, 0]
[0, -1, -3, -12, -3, -2, 17, 3]
[0, -1, 5, 33, 5, 3, 4, 1]
[-1, -1, -5, -18, -4, 0, -20, -2]
[1, 1, 1, 3, -2, -2, 0, 0]
[-2, -2, 1, 12, 6, 7, 39, 6]
[-3, 1, 7, -12, 0, 2, 18, 3]
[-3, -2, -12, -10, -6, -5, -31, -8]
[2, 0, 0, 8, 1, 0, 15, 3]
[0, -4, 2, 24, 10, 0, -28, -4]
[0, 0, -1, -9, -3, -2, -10, -4]
[9, 0, -2, 0, 3, 10, 60, 14]
[-2, -2, -3, -9, -7, -5, -9, -5]
